Speaker,Repetition,Order,Word,oaf_20,oap_20,naf_20,oaf_50,oap_50,naf_50,oaf_80,oap_80,naf_80
Ben,1,1,boot,0.07070384,0.01528216,0.01994897,0.03895882,0.0032087,0.0079467,0.0492562,0.0059154,0.00067062
Ben,1,2,birm,0.07200729,0.00231787,-0.0130968,0.03555298,0.00244365,0.02353309,0.04043555,0.00137745,0.03302002
Ben,1,3,bait,0.08922555,0.00407186,-0.0166853,0.12616109,0.00345667,-0.0236676,0.09782188,0.00264848,0.02991237
Ben,1,4,bite,0.07430886,0.00208363,-0.0138481,0.09802088,0.00246621,-0.0146004,0.12017822,0.00326323,0.02436192
Ben,1,5,beat,0.0957102,0.00358045,-0.0253999,0.09375138,0.00329142,-0.0266649,0.08724831,0.00274969,0.03156918
Ben,1,6,bought,0.08388366,0.00309708,-0.007356,0.08792535,0.00237342,-0.0218139,0.16678923,0.00400241,0.02145894
Ben,1,7,Bert,0.10159804,0.00570394,0.01580811,0.11142558,0.00445772,0.00832725,0.13302927,0.0040462,0.006073
Ben,1,8,bout,0.06178634,0.00202401,0.00440844,0.12746277,0.00288475,0.0159075,0.14822423,0.00546203,0.03030396
Ben,1,9,bin,0.0787298,0.00408084,-0.066283,0.08208689,0.0025737,-0.0507881,0.08468628,0.00360449,-0.0222893
Ben,1,10,bound,0.06357514,0.00218637,-0.0642146,0.07438816,0.00199873,-0.0443445,0.09083074,0.00255672,-0.0171837
Ben,1,11,boon,0.09831486,0.00667626,-0.0197759,0.07400513,0.00256396,0.04944824,0.08407593,0.00585402,0.08457324
Ben,1,12,boing,0.13394735,0.01422434,0.00252286,0.101331,0.00481305,-0.003479,0.12466517,0.00448758,-0.0055558
Ben,1,13,but,0.15307617,0.00531089,0.01287842,0.14422383,0.0040875,0.01479301,0.14404879,0.00375577,0.01818848
Ben,1,14,born,0.1055403,0.00705979,0.0177275,0.12631224,0.00347902,0.01861572,0.15585463,0.00592709,0.01983643
Ben,1,15,bort,0.12137472,0.01490382,0.01916504,0.15381661,0.00559024,0.02090454,0.18981112,0.0055578,0.01470947
Ben,1,16,bun,0.11331319,0.00380961,0.01733398,0.08994749,0.00244892,0.0212219,0.08660889,0.00229277,0.01928221
Ben,1,17,boit,0.103302,0.00732803,0.02029419,0.13182493,0.00315969,0.01330792,0.11831628,0.00321063,0.01852275
Ben,1,18,Ben,0.06741333,0.0040256,0.00954005,0.08575439,0.00231775,0.01205565,0.08688008,0.00238583,0.01733414
Ben,1,19,barn,0.09414501,0.003213,0.01223755,0.08877564,0.00250223,0.01931782,0.08141659,0.00255487,0.02190755
Ben,1,20,bet,0.08672867,0.00420545,0.01193237,0.13357162,0.00302258,0.01364136,0.18062649,0.00521708,0.01989746
Ben,1,21,bot,0.08923854,0.00071973,0.01083374,0.13568947,0.0005077,0.00868737,0.19947705,0.00160862,0.02090649
Ben,1,22,Bart,0.11830842,0.00491198,0.01443481,0.13524262,0.00409686,0.01873694,0.17488377,0.00491388,0.01878635
Ben,1,23,bat,0.05835682,0.00158194,0.00958252,0.08769796,0.00066232,0.00854492,0.13706379,0.00109074,0.01876725
Ben,1,24,bean,0.10660384,0.00229663,0.01535034,0.07658522,0.00209978,0.0284105,0.04907227,0.00075286,0.02206249
Ben,1,25,bone,0.10394401,0.00479009,0.01422119,0.06086244,0.00263794,0.02059937,0.07697579,0.00432561,0.02044631
Ben,1,26,bit,0.14029464,0.01120389,0.01235962,0.13951428,0.00527344,0.01452536,0.1641744,0.0050987,0.019104
Ben,1,27,ban,0.10451901,0.00363673,0.00768077,0.09625097,0.00339235,0.02520773,0.09854126,0.00237165,0.02243042
Ben,1,28,boat,0.10394287,0.00651485,0.01583862,0.14431267,0.00668035,0.01937866,0.16722887,0.00656487,0.01806641
Ben,1,29,bomb,0.07216332,0.00665108,0.0240457,0.06317736,0.00533521,0.02334527,0.07458683,0.00546407,0.0211792
Ben,1,30,bind,0.07247925,0.00455943,0.01714174,0.07312012,0.00338127,0.02224731,0.07919401,0.00332756,0.01998901
Ben,1,31,bane,0.08572417,0.00512052,0.0126645,0.06680298,0.00509338,0.02325439,0.07608008,0.00421069,0.02270508
Ben,2,1,boit,0.12640728,0.01220029,0.0295105,0.14507845,0.0100412,0.02337738,0.1532148,0.0098152,0.02267532
Ben,2,2,bane,0.05566029,0.00694192,0.02026367,0.09036312,0.00654654,0.03867101,0.10308829,0.00589085,0.04495231
Ben,2,3,bean,0.11163405,0.00742487,0.01442698,0.1131897,0.00559492,0.01145965,0.10971069,0.00518844,0.02196211
Ben,2,4,boot,0.12185467,0.00811386,0.02658081,0.11294341,0.00661207,0.02639771,0.12408447,0.00704965,0.02529907
Ben,2,5,boon,0.1040815,0.00854008,0.02452987,0.10186641,0.00625749,0.02294991,0.1447234,0.0123178,0.02654238
Ben,2,6,bin,0.10922316,0.00808664,0.01531956,0.12967884,0.00741803,0.01801502,0.12729003,0.00670214,0.02462769
Ben,2,7,barn,0.11767578,0.00719068,0.02012637,0.11803563,0.00714646,0.0304807,0.12826505,0.0061634,0.02740479
Ben,2,8,bind,0.10386711,-0.0003445,0.00201416,0.11890146,-0.0006115,0.01483652,0.12170556,-0.0006104,0.02926636
Ben,2,9,bit,0.11743164,0.00991485,0.02319336,0.15097209,0.004945,0.0235603,0.15747841,0.00454213,0.02758789
Ben,2,10,bort,0.140288,0.01701797,0.03149321,0.15028142,0.00896835,0.03109741,0.21012692,0.00752035,0.02981567
Ben,2,11,bot,0.10578916,0.00615305,0.02041626,0.12789778,0.00543921,0.0234375,0.10539129,0.00360488,0.02804565
Ben,2,12,bat,0.09587202,0.00510079,0.02490234,0.14690386,0.00636799,0.02728084,0.14207417,0.0060785,0.03140061
Ben,2,13,Bart,0.1379108,0.00657392,0.02780338,0.13543349,0.00485376,0.03082275,0.12740957,0.00248392,0.03094482
Ben,2,14,Ben,0.11206771,0.00395101,0.02078107,0.1112677,0.00192332,0.01196289,0.11233521,0.0024015,0.02746582
Ben,2,15,bet,0.10045034,0.00747304,0.025007,0.11334481,0.00685316,0.02395759,0.13186646,0.00741418,0.02996826
Ben,2,16,boat,0.11318121,0.01030225,0.02728271,0.10748291,0.00875976,0.02853394,0.09786929,0.00915873,0.02838135
Ben,2,17,Bert,0.10006809,0.02005058,0.02856445,0.08216043,0.01780309,0.02917683,0.09898368,0.01705195,0.02984619
Ben,2,18,born,0.12295532,0.02243069,0.02236938,0.13619921,0.02124731,0.03225634,0.11985148,0.01945325,0.02956128
Ben,2,19,bomb,0.05811554,0.01154581,0.00384655,0.07903428,0.01131362,0.01678682,0.09610402,0.01119951,0.03298928
Ben,2,20,bite,0.10884299,0.00273226,0.02807617,0.11611938,0.00290198,0.0291748,0.10536549,0.00299694,0.02716064
Ben,2,21,bout,0.07605219,0.00047946,0.02401733,0.13090316,0.00053513,0.027771,0.12025854,-0.0002413,0.0302124
Ben,2,22,bait,0.11377016,0.0021677,0.02679444,0.13706595,0.00218576,0.02758789,0.12531301,0.00246517,0.02593994
Ben,2,23,beat,0.12143816,0.00647844,0.02435303,0.13223455,0.0023132,0.02041626,0.12150087,0.00202203,0.02334595
Ben,2,24,but,0.10981511,0.00504977,0.02157818,0.11116099,0.00267136,0.01750094,0.07686372,0.00210839,0.02536011
Ben,2,25,boing,0.16300774,0.01405848,0.01907302,0.13116455,0.00404268,0.01873633,0.12185669,0.00324144,0.03447342
Ben,2,26,bought,0.08969085,0.00437264,0.02215402,0.10757237,0.0028968,0.02718991,0.12850088,0.00362925,0.03186035
Ben,2,27,ban,0.09166562,0.00417285,0.01330429,0.11102883,0.00136451,0.01092665,0.09738126,0.006106,0.04455566
Ben,2,28,bone,0.1125875,0.00908303,0.01678686,0.10461426,0.00815099,0.02252382,0.08157571,0.00768059,0.04046853
Ben,2,29,birm,0.12488019,0.00655657,0.01645143,0.07732994,0.00579942,0.03015137,0.0813917,0.00419859,0.02798239
Ben,2,30,bun,0.10629272,0.00689474,0.0144043,0.07955354,0.00549228,0.03378252,0.07888794,0.00491333,0.03689575
Ben,2,31,bound,0.0663136,0.01653374,0.02462543,0.08743962,0.01452988,0.04144287,0.11407527,0.01420972,0.03827108
Ben,3,1,Bart,0.12435896,-0.0025021,0.01867676,0.16052672,-0.0060502,0.01299974,0.18181477,-0.0093998,0.0189228
Ben,3,2,bane,0.07877574,-0.0061852,0.0085134,0.1022048,-0.0097464,0.0239563,0.05237701,-0.0116095,0.03768789
Ben,3,3,bought,0.09134478,-0.005331,0.01773071,0.12531841,-0.0086811,0.01003514,0.21955257,-0.0106797,0.01822124
Ben,3,4,but,0.13134766,-0.0034675,0.01614234,0.20287056,-0.007238,0.01055734,0.1652832,-0.0109681,0.02001953
Ben,3,5,birm,0.09495387,-0.0103949,0.01641846,0.0585022,-0.0137771,0.02084438,0.04084186,-0.0159125,0.01922833
Ben,3,6,Bert,0.14039862,0.00403734,0.01766968,0.15444519,-0.0012544,0.01873779,0.18298554,-0.0048854,0.01998901
Ben,3,7,bite,0.0974724,-0.0076909,0.01492384,0.14069409,-0.013441,0.00940072,0.16804938,-0.0157593,0.01941144
Ben,3,8,ban,0.0705249,-0.0126928,0.00905399,0.10919203,-0.0165096,0.0222168,0.14908061,-0.018328,0.02133179
Ben,3,9,bean,0.10066197,-0.0114915,0.01473999,0.0847168,-0.0153682,0.02471924,0.09860457,-0.0176392,0.02059937
Ben,3,10,bet,0.09953139,-0.0076942,0.01397481,0.11856006,-0.0119176,0.01473999,0.14441444,-0.0144735,0.02005005
Ben,3,11,boat,0.13110651,-0.0077877,0.01489258,0.14093159,-0.0114423,0.01465488,0.12242883,-0.0141528,0.01659056
Ben,3,12,bot,0.10056777,-0.010845,0.0140428,0.10848999,-0.0150566,0.01828003,0.09934592,-0.0162879,0.02175903
Ben,3,13,boing,0.13121723,-0.0132663,0.01236182,0.1540715,-0.0155922,0.01503703,0.10881637,-0.0180003,0.02173783
Ben,3,14,bort,0.11932454,-0.0124526,0.02005005,0.14895837,-0.015049,0.01690449,0.1017916,-0.0175772,0.0128479
Ben,3,15,bound,0.05601734,-0.0060072,0.02404785,0.12216294,-0.0092531,0.02255249,0.1493055,-0.0110187,0.02164934
Ben,3,16,bun,0.1414311,0.04662066,0.00750878,0.10457416,0.02275724,0.02023271,0.106016,0.01220092,0.022003
Ben,3,17,bout,0.08889146,0.03647304,0.01739502,0.17271533,0.0118081,0.02035522,0.14024477,0.00536322,0.01989746
Ben,3,18,bait,0.11660707,0.03540457,0.01010195,0.14458406,0.01606192,0.01537962,0.10236729,0.00987081,0.01702881
Ben,3,19,bind,0.07932232,0.01934962,0.02108986,0.11739078,0.00645938,0.02180973,0.10192871,0.00390866,0.01998901
Ben,3,20,bin,0.10723746,0.03078512,0.00255583,0.11651614,0.01367121,0.0116896,0.1052614,0.00661989,0.01635261
Ben,3,21,bone,0.13864259,0.03515879,0.00021295,0.1184175,0.01628621,0.01779392,0.14301341,0.01307682,0.02836612
Ben,3,22,born,0.12857281,0.02983487,0.0171814,0.16563112,0.01350278,0.01840054,0.09889256,0.00600754,0.01913452
Ben,3,23,bart,0.12171607,0.01158614,0.02313232,0.12846873,0.00010246,0.02261128,0.11859498,-0.0015581,0.02133179
Ben,3,24,boon,0.11389288,0.02834638,0.01507568,0.10021973,0.00852414,0.021698,0.1204743,0.00503849,0.02328491
Ben,3,25,bomb,0.07712498,0.02550223,-0.0101341,0.08393466,0.00816518,0.02185285,0.10856777,0.00247156,0.02209473
Ben,3,26,bit,0.14381755,0.03627396,0.01747276,0.14510995,0.01938088,0.01216746,0.12263333,0.01224627,0.0161438
Ben,3,27,boit,0.13798628,0.02267097,0.02105713,0.13916409,0.00665839,0.01156616,0.0741936,0.00172823,0.00808572
Ben,3,28,Ben,0.08466801,0.02753716,0.00832135,0.11275625,0.01241126,0.00146484,0.12481689,0.007359,0.02279663
Ben,3,29,boot,0.10373222,0.04379462,0.01937866,0.075415,0.02515398,0.01922607,0.0726333,0.01559706,0.01950073
Ben,3,30,bat,0.04701535,0.02519264,0.00968671,0.11264038,0.01404406,0.01724243,0.12259526,0.01126813,0.01864575
Ben,3,31,beat,0.08800789,0.05030983,0.01599121,0.11550507,0.03551968,0.01745645,0.12257686,0.02785883,0.01644741
Ben,4,1,bun,0.1156217,0.16199325,0.01115988,0.10537853,0.16021319,0.03778079,0.04598206,0.15982056,0.04535629
Ben,4,2,boing,0.10972431,0.16415086,0.01779014,0.11435311,0.16387668,0.02762216,0.07923357,0.16218663,0.04038352
Ben,4,3,boat,0.0948876,0.1668189,0.01947021,0.10974254,0.16534805,0.02102677,0.09060831,0.16433508,0.01821899
Ben,4,4,bat,0.03370398,0.1696572,0.0201416,0.11519785,0.1679402,0.01983643,0.17299318,0.16693529,0.02434206
Ben,4,5,bind,0.08488909,0.16548516,0.01307319,0.08234382,0.16381346,0.02746582,0.11782944,0.16265935,0.027771
Ben,4,6,Bert,0.10965111,0.16412716,0.0156574,0.11236947,0.16287268,0.02102897,0.07383758,0.1622214,0.02484131
Ben,4,7,boon,0.07368005,0.15506353,0.02093506,0.07473755,0.15374815,0.03210449,0.05117798,0.15258347,0.03440455
Ben,4,8,Bart,0.11807155,0.14967511,0.02011108,0.11978071,0.14770144,0.02166748,0.09433496,0.14718045,0.02105713
Ben,4,9,but,0.12323018,0.14932187,0.01803589,0.15074691,0.14763466,0.0206604,0.13543231,0.14698808,0.02175903
Ben,4,10,Ben,0.1060654,0.14693745,0.00558472,0.11516356,0.14547729,0.03265262,0.12748645,0.14480609,0.03430176
Ben,4,11,beat,0.11962891,0.14614792,0.01879883,0.14703852,0.14514752,0.0183373,0.13717541,0.14483191,0.02441406
Ben,4,12,barn,0.1560066,0.12344252,0.0146473,0.13388062,0.12279622,0.03527832,0.1108061,0.12246849,0.03076035
Ben,4,13,bout,0.05717823,0.1364379,0.01635924,0.1735648,0.13470665,0.02612305,0.13072705,0.13461128,0.02828979
Ben,4,14,bound,0.07626796,0.14569867,0.01471065,0.08284604,0.14453253,0.0289996,0.11367798,0.1434673,0.03067115
Ben,4,15,bean,0.09416456,0.14683727,0.01971219,0.07373101,0.14575172,0.03039551,0.07672119,0.14535745,0.02895895
Ben,4,16,bait,0.12440008,0.14309182,0.02114868,0.14361733,0.14138625,0.0199585,0.13399806,0.1407919,0.02197266
Ben,4,17,boit,0.14065896,0.12924225,0.02172681,0.16433492,0.12905701,0.01919556,0.09839769,0.12816179,0.02210676
Ben,4,18,bane,0.09163849,0.13384809,0.01813323,0.09904363,0.13269928,0.02806425,0.09994571,0.13228325,0.02697754
Ben,4,19,bite,0.11192102,0.13934766,0.01931763,0.13079963,0.13737469,0.02008057,0.09970448,0.13642103,0.02105713
Ben,4,20,birm,0.13108175,0.1392794,0.02407722,0.06363139,0.13766423,0.02301025,0.0479126,0.13705465,0.0230108
Ben,4,21,boot,0.15774933,0.13665776,0.02212524,0.12234561,0.13543854,0.01934814,0.11972962,0.13476435,0.02017212
Ben,4,22,bort,0.13085938,0.1347152,0.0218811,0.21105765,0.13415713,0.02536072,0.11079145,0.13332639,0.02182007
Ben,4,23,bought,0.0995302,0.14622398,0.01873779,0.12103498,0.14457335,0.01919556,0.10013085,0.1440151,0.02444383
Ben,4,24,bet,0.12413563,0.14801898,0.01934814,0.14804072,0.14675903,0.02151492,0.13701318,0.14587659,0.02319336
Ben,4,25,bit,0.09225325,0.15162602,0.01950073,0.12589894,0.15023373,0.01911761,0.12676782,0.1494729,0.02111722
Ben,4,26,bomb,0.07246825,0.1496419,0.01378306,0.05673159,0.14755152,0.02496338,0.09994012,0.14669377,0.02673306
Ben,4,27,ban,0.12656169,0.15383381,0.01350696,0.09695435,0.15198316,0.02981567,0.15094172,0.15029219,0.03106689
Ben,4,28,bone,0.12628174,0.15226051,0.02600098,0.10501316,0.15054027,0.02639988,0.11434873,0.14938712,0.03140259
Ben,4,29,bot,0.10513406,0.15206744,0.01818848,0.10451799,0.15082387,0.01708935,0.12345855,0.14975049,0.03001373
Ben,4,30,born,0.14002875,0.1496279,0.02151669,0.13925077,0.14880395,0.02957131,0.09140059,0.14725586,0.02713013
Ben,4,31,bin,0.12382593,0.15321862,0.03079224,0.11520386,0.15206336,0.0289917,0.0382168,0.15036346,0.04211426
Ben,5,1,beat,0.121521,0.17385371,-0.0120253,0.12158324,0.17218416,-0.0171434,0.13046063,0.17128057,-0.0071571
Ben,5,2,bin,0.10528939,0.166403,-0.0239868,0.12225195,0.16437611,0.01219362,0.11552806,0.16382719,0.06080251
Ben,5,3,birm,0.1322431,0.16380372,0.00720087,0.07400634,0.16213542,0.04504273,0.07766931,0.16158545,0.05206284
Ben,5,4,bet,0.05154709,0.16291995,0.00412196,0.11577946,0.1618545,0.00476097,0.14154053,0.1608835,0.00778613
Ben,5,5,boing,0.09550335,0.16530514,0.00250244,0.1287816,0.16366587,0.02313738,0.09414673,0.16195228,0.05307007
Ben,5,6,Bert,0.12696388,0.15792045,0.01258262,0.11496033,0.15652452,0.00723215,0.12066971,0.15589762,0.00247192
Ben,5,7,bat,0.03186271,0.1588402,-0.0062235,0.09542097,0.15719619,0.01107803,0.16319149,0.15646578,0.01980591
Ben,5,8,Bart,0.09109607,0.159131,0.01446533,0.17663446,0.1566694,0.01641846,0.143607,0.15553431,0.01504214
Ben,5,9,Ben,0.08432934,0.13380467,-0.0295538,0.1057359,0.13263335,0.04280989,0.15104149,0.13295828,0.0741272
Ben,5,10,bomb,0.07758686,0.15278455,-0.0285047,0.05903245,0.15195585,0.05205896,0.12103127,0.15213293,0.06267713
Ben,5,11,born,0.14134819,0.1504229,-0.001952,0.13566776,0.14932034,0.05890588,0.11307962,0.14895785,0.06680298
Ben,5,12,bot,0.07360128,0.14781768,-0.0026529,0.10067754,0.14676263,-0.0069275,0.10604276,0.14648198,0.01831782
Ben,5,13,bind,0.11891992,0.15295166,-0.0079993,0.10070618,0.15120863,0.04549974,0.10983276,0.15002374,0.04498118
Ben,5,14,bean,0.07047102,0.1575334,0.02620947,0.0592041,0.15631294,0.06491075,0.07989793,0.15599606,0.07046509
Ben,5,15,boon,0.11639616,0.15777944,0.00704956,0.07565308,0.15677256,0.01744404,0.07655297,0.15681495,0.04841749
Ben,5,16,but,0.10647532,0.15676891,0.0031439,0.12603809,0.15446536,-0.0084575,0.10259183,0.15465196,0.01229763
Ben,5,17,barn,0.12132995,0.16041489,0.01273877,0.10710637,0.15888831,0.05404779,0.08752102,0.15868768,0.04403569
Ben,5,18,bort,0.11639995,0.16188959,0.02267456,0.14877684,0.16057503,0.0127571,0.09675449,0.1602046,0.01065063
Ben,5,19,bit,0.11465454,0.16291297,0.01022339,0.11819458,0.16170005,0.00924522,0.10333199,0.16085712,0.00558472
Ben,5,20,bait,0.10308939,0.16747379,-0.0097074,0.12490699,0.16586283,-0.0002802,0.09037895,0.16490155,0.01455688
Ben,5,21,bite,0.15126087,-0.079136,0.00793457,0.11575628,-0.0734108,0.00180253,0.05745383,-0.0678625,0.00483888
Ben,5,22,bout,0.07640331,0.03538089,-0.0063766,0.15364027,0.03715639,0.01932572,0.12195078,0.03936768,0.03503418
Ben,5,23,ban,0.07348633,0.08259438,0.02009531,0.09469491,0.08291593,0.05917358,0.12509165,0.08401509,0.05975352
Ben,5,24,bought,0.10226373,0.11166874,0.00818609,0.13536974,0.11160592,0.00155122,0.13840186,0.11233246,0.02221447
Ben,5,25,boit,0.1131286,0.12921133,0.02282715,0.14641037,0.12942836,0.01412919,0.09204824,0.12927643,0.00964374
Ben,5,26,bone,0.09484917,0.15164178,0.01277134,0.08282471,0.15116843,0.06115079,0.0639031,0.15084835,0.11618075
Ben,5,27,bun,0.08069862,0.1586635,0.01503661,0.09841863,0.15722198,0.05169678,0.09248127,0.15648405,0.05486902
Ben,5,28,boat,0.08559918,0.16384505,0.02035622,0.09487915,0.16244959,0.01723076,0.11279297,0.16186585,0.01507568
Ben,5,29,bane,0.0573438,0.16687394,0.01692011,0.07696591,0.16608044,0.05188046,0.09786853,0.16555827,0.06951904
Ben,5,30,bound,0.09397906,0.16720973,0.02372388,0.10656519,0.16541042,0.06991577,0.09285485,0.16509249,0.04849243
Ben,5,31,boot,0.12444175,0.17941393,0.02005005,0.10262938,0.17855978,0.01412964,0.10699354,0.17850114,0.01452828
Aurora,1,1,boot,0.0161025,0.02935689,-0.0030615,0.03247874,0.02452028,-0.0044861,0.05197266,0.02227661,-0.0064697
Aurora,1,2,birm,0.02993774,0.03076563,0.01815932,0.01674974,0.0268859,0.02071748,0.00970329,0.02477783,0.00628662
